Ano,# Turistas
1970,249900
1971,287926
1972,342961
1973,399127
1974,480267
1975,517967
1976,555967
1977,634595
1978,784316
1979,1081799
1980,1625422
1981,1357879
1982,1146681
1983,1420481
1984,1595726
1985,1735982
1986,1934091
1987,1929053
1988,1742939
1989,1402897
1990,1091067
1991,1228178
1992,1692078
1993,1641138
1994,1853301
1995,1991416
1996,2665508
1997,2849750
1998,4818084
1999,5107169
2000,5313463
2001,4772575
2002,3784898
2003,4132847
2004,4793703
2005,5358170
2006,5017251
2007,5025834
2008,5050099
2009,4802217
2010,5161379
2011,5433354
2012,5676843
2013,5813342
2014,6429852
2015,6305838
2016,6578074
2017,6588770
2018,6621376
